[2026-05-27T07:52:22.401474] Task 235 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:22.462581] Task 236 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:22.490002] Task 236 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:22.526998] Task 237 | Event: TASK_CREATED | Message: Task created as part of pipeline Ingestion Pipeline - test_document.txt | Worker: None
[2026-05-27T07:52:22.578859] Task 237 | Event: TASK_BLOCKED | Message: Waiting on dependencies | Worker: None
[2026-05-27T07:52:22.661512] Task 235 | Event: TASK_QUEUED | Message: Pushed to high priority queue (queue: task_queue_test_cpu_heavy_high) | Worker: None
[2026-05-27T07:52:22.712414] Task 235 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-1
[2026-05-27T07:52:23.160784] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Orchestrator orchestrator-4cba6474 JIT claimed ownership. | Worker: orchestrator-4cba6474
[2026-05-27T07:52:23.210771] Task 235 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-1
[2026-05-27T07:52:23.381517] Task 236 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_cpu_heavy_medium) | Worker: None
[2026-05-27T07:52:23.610274] Task 236 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-3
[2026-05-27T07:52:23.803503] Task 236 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-3
[2026-05-27T07:52:24.049287] Task 237 | Event: TASK_QUEUED | Message: Pushed to medium priority queue (queue: task_queue_test_embedding_gpu_medium) | Worker: None
[2026-05-27T07:52:24.286130] Task 237 | Event: TASK_CLAIMED | Message: Worker claimed task | Worker: worker-2
[2026-05-27T07:52:24.728045] Task 237 | Event: TASK_COMPLETED | Message: Execution finished successfully | Worker: worker-2
[2026-05-27T07:52:24.764222] Task None | Event: PIPELINE_OWNERSHIP_TAKEN_OVER | Message: Advanced pipeline segment to 1 | Worker: None
[2026-05-27T07:52:24.779884] Task None | Event: PIPELINE_COMPLETED | Message: None | Worker: None
